c,n,d,c_nd,real_root_deficit,endpoint_state,defect_location
0.5,3,2,0.4034319968705745,2,0,endpoint_like
0.5,4,3,0.44152875844330297,2,0,bulk_like
0.5,5,4,0.45388109983955577,4,0,endpoint_like
0.5,6,5,0.4553894686943161,4,0,bulk_like
0.5,7,6,0.45192418339731844,6,0,endpoint_like
0.5,8,7,0.4461043081988538,6,0,bulk_like
0.5,9,9,0.49410126912250374,8,0,bulk_like
0.5,10,10,0.4798525912188082,10,0,endpoint_like
0.5,11,11,0.4668945055848338,10,0,bulk_like
0.54,3,2,0.4034319968705745,2,0,endpoint_like
0.54,4,3,0.44152875844330297,2,0,bulk_like
0.54,5,4,0.45388109983955577,4,0,endpoint_like
0.54,6,5,0.4553894686943161,4,0,bulk_like
0.54,7,7,0.5272448806302049,6,0,bulk_like
0.54,8,8,0.5098334950844045,8,0,endpoint_like
0.54,9,9,0.49410126912250374,8,0,bulk_like
0.54,10,11,0.5278378503406891,10,0,bulk_like
0.54,11,12,0.5093394606380005,12,0,endpoint_like
0.56,3,2,0.4034319968705745,2,0,endpoint_like
0.56,4,3,0.44152875844330297,2,0,bulk_like
0.56,5,4,0.45388109983955577,4,0,endpoint_like
0.56,6,6,0.5464673624331794,6,0,endpoint_like
0.56,7,7,0.5272448806302049,6,0,bulk_like
0.56,8,8,0.5098334950844045,8,0,endpoint_like
0.56,9,10,0.5490014101361153,10,0,endpoint_like
0.56,10,11,0.5278378503406891,10,0,bulk_like
0.56,11,13,0.5517844156911672,12,0,bulk_like
0.57,3,2,0.4034319968705745,2,0,endpoint_like
0.57,4,3,0.44152875844330297,2,0,bulk_like
0.57,5,5,0.5673513747994448,4,0,bulk_like
0.57,6,6,0.5464673624331794,6,0,endpoint_like
0.57,7,7,0.5272448806302049,6,0,bulk_like
0.57,8,8,0.5098334950844045,8,0,endpoint_like
0.57,9,10,0.5490014101361153,10,0,endpoint_like
0.57,10,11,0.5278378503406891,10,0,bulk_like
0.57,11,13,0.5517844156911672,12,0,bulk_like
0.6,3,2,0.4034319968705745,2,0,endpoint_like
0.6,4,4,0.5887050112577373,4,0,endpoint_like
0.6,5,5,0.5673513747994448,4,0,bulk_like
0.6,6,6,0.5464673624331794,6,0,endpoint_like
0.6,7,7,0.5272448806302049,6,0,bulk_like
0.6,8,9,0.573562681969955,8,0,bulk_like
0.6,9,10,0.5490014101361153,10,0,endpoint_like
0.6,10,12,0.5758231094625698,12,0,endpoint_like
0.7,3,3,0.6051479953058617,2,0,bulk_like
0.7,4,4,0.5887050112577373,4,0,endpoint_like
0.7,5,6,0.6808216497593336,6,0,endpoint_like
0.7,6,7,0.6375452561720426,6,0,bulk_like
0.7,7,9,0.6778862750959778,8,0,bulk_like
0.7,8,10,0.6372918688555055,10,0,endpoint_like
0.7,9,12,0.6588016921633383,12,0,endpoint_like
0.7,10,14,0.6717936277063314,14,0,endpoint_like
