Light contour stress harness summary
baseline derivative time: 29.988650s
baseline profile: []

All configurations:
dps=35, radius=0.9, N=128: max_relerr=1.112e-11, mean_relerr=8.561e-13, profile_match=1, speedup=119.22x, profile=[]
dps=35, radius=0.9, N=256: max_relerr=1.160e-11, mean_relerr=8.928e-13, profile_match=1, speedup=59.86x, profile=[]
dps=35, radius=0.75, N=128: max_relerr=8.223e-10, mean_relerr=6.328e-11, profile_match=1, speedup=121.36x, profile=[]
dps=35, radius=0.75, N=256: max_relerr=8.905e-10, mean_relerr=6.850e-11, profile_match=1, speedup=62.86x, profile=[]
dps=35, radius=0.6, N=128: max_relerr=1.902e-07, mean_relerr=1.463e-08, profile_match=1, speedup=123.13x, profile=[]
dps=35, radius=0.6, N=256: max_relerr=1.946e-07, mean_relerr=1.497e-08, profile_match=1, speedup=65.14x, profile=[]
dps=25, radius=0.9, N=128: max_relerr=5.517e-02, mean_relerr=4.261e-03, profile_match=1, speedup=150.51x, profile=[]
dps=25, radius=0.9, N=256: max_relerr=7.167e-02, mean_relerr=5.520e-03, profile_match=1, speedup=75.61x, profile=[]
dps=25, radius=0.75, N=128: max_relerr=1.000e+00, mean_relerr=7.783e-02, profile_match=1, speedup=152.32x, profile=[]
dps=25, radius=0.75, N=256: max_relerr=1.000e+00, mean_relerr=7.732e-02, profile_match=1, speedup=78.39x, profile=[]
dps=25, radius=0.6, N=256: max_relerr=1.000e+00, mean_relerr=1.330e-01, profile_match=1, speedup=78.29x, profile=[]
dps=25, radius=0.6, N=128: max_relerr=1.000e+00, mean_relerr=1.539e-01, profile_match=1, speedup=142.04x, profile=[]
